Ticker,Name,Exchange,ICB_Sector_L1,ICB_Sector_L2,ICB_Sector_L3,ICB_Sector_L4
AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu L1,Hóa chất L2,Hóa chất L3,"Nhựa, cao su & sợi L4"
AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng L1,Thực phẩm và đồ uống L2,Sản xuất thực phẩm L3,Nuôi trồng nông & hải sản L4
AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Hàng Tiêu dùng L1,Hàng cá nhân & Gia dụng L2,Hàng cá nhân L3,Hàng May mặc L4
ABR,Đầu tư Nhãn Hiệu Việt,HOSE,Công nghiệp L1,Hàng & Dịch vụ Công nghiệp L2,Tư vấn & Hỗ trợ Kinh doanh L3,Tư vấn & Hỗ trợ KD L4
ABS,DV Nông nghiệp Bình Thuận,HOSE,Dịch vụ Tiêu dùng L1,Bán lẻ L2,Bán lẻ L3,Phân phối hàng chuyên dụng L4
ABT,Thủy sản Bến Tre,HOSE,Hàng Tiêu dùng L1,Thực phẩm và đồ uống L2,Sản xuất thực phẩm L3,Nuôi trồng nông & hải sản L4
ACB,Ngân hàng Á Châu,HOSE,Ngân hàng L1,Ngân hàng L2,Ngân hàng L3,Ngân hàng L4
ACC,Đầu tư và XD Bình Dương ACC,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Vật liệu xây dựng & Nội thất L4
ACG,Gỗ An Cường,HOSE,Nguyên vật liệu L1,Tài nguyên Cơ bản L2,Lâm nghiệp và Giấy L3,Lâm sản và Chế biến gỗ L4
ACL,Thủy sản CL An Giang,HOSE,Hàng Tiêu dùng L1,Thực phẩm và đồ uống L2,Sản xuất thực phẩm L3,Nuôi trồng nông & hải sản L4
ADG,Clever Group,HOSE,Dịch vụ Tiêu dùng L1,Truyền thông L2,Truyền thông L3,Dịch vụ truyền thông L4
ADS,Dệt sợi DAMSAN,HOSE,Hàng Tiêu dùng L1,Hàng cá nhân & Gia dụng L2,Hàng cá nhân L3,Hàng May mặc L4
AGG,Bất động sản An Gia,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,Bất động sản L4
AGM,XNK An Giang,HOSE,Hàng Tiêu dùng L1,Thực phẩm và đồ uống L2,Sản xuất thực phẩm L3,Thực phẩm L4
AGR,Agriseco,HOSE,Tài chính L1,Dịch vụ tài chính L2,Dịch vụ tài chính L3,Môi giới chứng khoán L4
AMD,FLC Stone,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,Bất động sản L4
ANV,Thủy sản Nam Việt,HOSE,Hàng Tiêu dùng L1,Thực phẩm và đồ uống L2,Sản xuất thực phẩm L3,Nuôi trồng nông & hải sản L4
APC,Chiếu xạ An Phú,HOSE,Dược phẩm và Y tế L1,Y tế L2,Dược phẩm L3,Công nghệ sinh học L4
APG,Chứng khoán APG,HOSE,Tài chính L1,Dịch vụ tài chính L2,Dịch vụ tài chính L3,Môi giới chứng khoán L4
APH,Tập đoàn An Phát Holdings,HOSE,Công nghiệp L1,Hàng & Dịch vụ Công nghiệp L2,Hàng công nghiệp L3,Containers & Đóng gói L4
