month,market_return
12/29/2022,-0.03732
11/30/2022,0.01992
10/31/2022,-0.09201
09/30/2022,-0.11589
08/31/2022,0.06149
07/29/2022,0.00729
06/30/2022,-0.07355
05/31/2022,-0.05423
04/29/2022,-0.08401
03/31/2022,0.00136
02/28/2022,0.00755
01/28/2022,-0.01289
12/31/2021,0.01342
11/30/2021,0.02366
10/29/2021,0.07616
09/30/2021,0.00795
08/31/2021,0.01635
07/30/2021,-0.06993
06/30/2021,0.06062
05/31/2021,0.07154
04/29/2021,0.04025
03/31/2021,0.01966
02/26/2021,0.10587
01/29/2021,-0.04281
12/31/2020,0.10048
11/30/2020,0.08386
10/30/2020,0.02238
09/30/2020,0.02672
08/31/2020,0.10428
07/31/2020,-0.03238
06/30/2020,-0.04553
05/29/2020,0.12399
04/29/2020,0.16087
03/31/2020,-0.24899
02/28/2020,-0.05811
01/31/2020,-0.02536
12/31/2019,-0.01005
11/29/2019,-0.02810
10/31/2019,0.00227
09/30/2019,0.01270
08/30/2019,-0.00766
07/31/2019,0.04392
06/28/2019,-0.01036
05/31/2019,-0.02017
04/26/2019,-0.00114
03/29/2019,0.01584
02/28/2019,0.06020
01/31/2019,0.02029
12/28/2018,-0.03670
11/30/2018,0.01288
10/31/2018,-0.10065
09/28/2018,0.02788
08/31/2018,0.03466
07/31/2018,-0.00457
06/29/2018,-0.01078
05/31/2018,-0.07523
04/27/2018,-0.10575
03/30/2018,0.04409
02/28/2018,0.01307
01/31/2018,0.12814
12/29/2017,0.03612
11/30/2017,0.13454
10/31/2017,0.04085
09/29/2017,0.02767
08/31/2017,-0.00101
07/31/2017,0.00912
06/30/2017,0.05238
05/31/2017,0.02799
04/28/2017,-0.00634
03/31/2017,0.01621
02/28/2017,0.01938
01/25/2017,0.04875
12/30/2016,-0.00030
11/30/2016,-0.01588
10/31/2016,-0.01448
09/30/2016,0.01645
08/31/2016,0.03434
07/29/2016,0.03159
06/30/2016,0.02235
05/31/2016,0.03354
04/29/2016,0.06620
03/31/2016,0.00331
02/29/2016,0.02590
01/29/2016,-0.05834
12/31/2015,0.01017
11/30/2015,-0.05626
10/30/2015,0.07950
09/30/2015,-0.00374
08/31/2015,-0.09067
07/31/2015,0.04723
06/30/2015,0.04124
05/29/2015,0.01273
04/27/2015,0.02045
03/31/2015,-0.06993
02/27/2015,0.02864
01/30/2015,0.05579
12/31/2014,-0.03698
11/28/2014,-0.05702
10/31/2014,0.00341
09/30/2014,-0.05945
08/29/2014,0.06808
