Month,Rate
1/1/23,4.987
12/1/22,5.037
11/1/22,5.164
10/1/22,5.194
9/1/22,5.016
8/1/22,3.681
7/1/22,3.632
6/1/22,3.368
5/1/22,3.249
4/1/22,3.103
3/1/22,2.479
2/1/22,2.34
1/1/22,2.163
12/1/21,2.1
11/1/21,2.082
10/1/21,2.116
9/1/21,2.132
8/1/21,2.095
7/1/21,2.153
6/1/21,2.174
5/1/21,2.273
4/1/21,2.313
3/1/21,2.386
2/1/21,2.355
1/1/21,2.304
12/1/20,2.451
11/1/20,2.421
10/1/20,2.574
9/1/20,2.743
8/1/20,2.873
7/1/20,2.966
6/1/20,3.033
5/1/20,3.146
4/1/20,3.05
3/1/20,3.517
2/1/20,2.856
1/1/20,3.157
12/1/19,3.378
11/1/19,3.568
10/1/19,3.649
9/1/19,4.057
8/1/19,4.162
7/1/19,4.404
6/1/19,4.654
5/1/19,4.701
4/1/19,4.764
3/1/19,4.828
2/1/19,4.755
1/1/19,4.881
12/1/18,5.166
11/1/18,5.166
10/1/18,5.183
9/1/18,5.028
8/1/18,5.172
7/1/18,4.923
6/1/18,4.743
5/1/18,4.658
4/1/18,4.682
3/1/18,4.196
2/1/18,4.307
1/1/18,4.098
12/1/17,5.053
11/1/17,5.387
10/1/17,5.315
9/1/17,5.366
8/1/17,5.501
7/1/17,5.265
6/1/17,5.634
5/1/17,5.671
4/1/17,5.793
3/1/17,5.826
2/1/17,5.882
1/1/17,6.01
12/1/16,6.095
11/1/16,6.046
10/1/16,5.971
9/1/16,6.218
8/1/16,6.835
7/1/16,6.921
6/1/16,6.899
5/1/16,6.943
4/1/16,6.943
3/1/16,6.868
2/1/16,6.863
1/1/16,7.037
12/1/15,7.052
11/1/15,7.06
10/1/15,7.062
9/1/15,7.041
8/1/15,7.002
7/1/15,6.776
6/1/15,6.785
5/1/15,6.538
4/1/15,6.493
3/1/15,6.476
2/1/15,6.433
1/1/15,6.645
12/1/14,7.15
11/1/14,6.893
10/1/14,6.302
9/1/14,6.66
8/1/14,8.038
7/1/14,8.426
6/1/14,8.577
5/1/14,8.694
4/1/14,8.466
3/1/14,8.495
2/1/14,8.666
1/1/14,8.846
12/1/13,8.947
11/1/13,8.902
10/1/13,8.854
9/1/13,8.93
8/1/13,8.813
7/1/13,8.926
6/1/13,8.899
5/1/13,8.936
4/1/13,9.21
3/1/13,9.326
2/1/13,9.311
1/1/13,9.728
12/1/12,9.835
11/1/12,9.972
10/1/12,10.07
9/1/12,9.875
8/1/12,9.983
7/1/12,10.104
6/1/12,9.909
5/1/12,9.898
4/1/12,10.813
3/1/12,11.362
2/1/12,11.439
1/1/12,12.01
12/1/11,11.995
11/1/11,11.938
10/1/11,11.977
9/1/11,11.931
8/1/11,11.943
7/1/11,11.954
6/1/11,11.96
5/1/11,12.377
4/1/11,11.98
3/1/11,11.835
2/1/11,11.545
1/1/11,11.371
12/1/10,11.419
11/1/10,11.404
10/1/10,11.017
9/1/10,11.058
8/1/10,11.099
7/1/10,11.059
6/1/10,11.269
5/1/10,11.57
4/1/10,11.797
3/1/10,11.884
2/1/10,11.539
1/1/10,11.303
12/1/09,11.038
11/1/09,10.25
10/1/09,10.921
9/1/09,9.2
8/1/09,9.8
7/1/09,9.4
6/1/09,9.7
5/1/09,9.2
4/1/09,9
3/1/09,9.1
2/1/09,9.8
1/1/09,9.8
12/1/08,9.8
11/1/08,14.5
10/1/08,14.5
9/1/08,15.5
8/1/08,15.5
7/1/08,17.1
6/1/08,9.27
5/1/08,9.28
4/1/08,9.08
3/1/08,8.89
2/1/08,8.74
1/1/08,8.75
12/1/07,8.8
11/1/07,8.35
10/1/07,8.7
9/1/07,8.65
